idPartido,nombreEquipo,esLocal,equipo vs,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %,numeroDeGolesLocales,NumeroDeGolesVisitantes,resultado,TipoLiga,ImportanciaLiga,Fecha
17,Peru,true,Ecuador,5,4,12,3,4,8,16,6,0,63%,3,null,2,487,404,1,1,0.5,World Cup - Qualification South America,25,2022-02-02T02:00:00+00:00
18,Peru,false,Colombia,1,1,4,2,3,1,11,5,0,31%,3,null,3,225,155,0,1,1,World Cup - Qualification South America,25,2022-01-28T21:00:00+00:00
19,Peru,false,Venezuela,5,4,12,3,7,5,14,5,0,40%,3,null,5,314,244,1,2,1,World Cup - Qualification South America,25,2021-11-16T21:00:00+00:00

0,Chile,false,France,4,3,9,2,6,3,14,4,1,41%,null,null,1,450,403,90%,3,2,0,Friendlies,5,2024-03-26T20:00:00+00:00
1,Chile,false,Albania,4,3,9,2,4,5,13,4,2,45%,2,null,0,490,427,87%,0,3,1,Friendlies,5,2024-03-22T19:45:00+00:00
2,Chile,false,Ecuador,3,4,12,5,5,7,14,4,1,47%,2,null,5,369,287,78%,1,0,0,World Cup - Qualification South America,25,2023-11-21T23:30:00+00:00
3,Chile,true,Paraguay,5,6,13,2,10,3,8,7,1,71%,2,1,3,612,541,88%,0,0,0.5,World Cup - Qualification South America,25,2023-11-17T00:30:00+00:00
4,Chile,false,Venezuela,1,6,11,4,4,7,13,3,1,58%,3,1,3,508,441,87%,3,0,0,World Cup - Qualification South America,25,2023-10-17T21:00:00+00:00
5,Chile,true,Peru,6,5,12,1,7,5,10,8,1,64%,2,null,0,572,491,86%,2,0,1,World Cup - Qualification South America,25,2023-10-13T00:00:00+00:00
6,Chile,true,Colombia,5,3,10,2,6,4,13,6,3,51%,1,null,2,413,313,76%,0,0,0.5,World Cup - Qualification South America,25,2023-09-13T00:30:00+00:00
7,Chile,false,Uruguay,2,3,7,2,5,2,16,3,1,50%,5,null,4,432,335,78%,3,1,0,World Cup - Qualification South America,25,2023-09-08T23:00:00+00:00
8,Chile,false,Bolivia,2,2,5,1,2,3,10,1,4,60%,1,null,1,232,194,84%,0,0,0.5,Friendlies,5,2023-06-21T00:00:00+00:00
9,Chile,true,Dominican Republic,11,2,18,5,14,4,13,5,1,74%,0,null,1,493,438,89%,5,0,1,Friendlies,5,2023-06-17T00:30:00+00:00
10,Chile,true,Cuba,3,4,9,2,7,2,9,2,1,76%,0,null,0,384,333,87%,3,0,1,Friendlies,5,2023-06-11T23:00:00+00:00
11,Chile,true,Paraguay,null,null,null,null,1,1,null,5,null,null,1,1,null,64,54,84%,3,2,1,Friendlies,5,2023-03-28T00:30:00+00:00
12,Chile,false,Slovakia,7,5,19,7,9,10,20,8,0,57%,2,null,4,617,546,0,0,0.5,Friendlies,5,2022-11-20T12:30:00+00:00
13,Chile,false,Poland,5,2,9,2,5,4,11,5,0,73%,3,null,6,742,665,1,0,0,Friendlies,5,2022-11-16T17:00:00+00:00
14,Chile,true,Uruguay,4,7,13,2,4,9,15,5,1,55%,2,null,4,478,401,0,2,0,World Cup - Qualification South America,25,2022-03-30T23:30:00+00:00
